,Country,Total,Year,Life Expectancy at Birth,Population
5,Sweden,8,1964,73.8,7661351.0
23,Australia,18,1964,70.7,11121600.0
28,France,15,1964,71.4,48310410.0
31,Canada,4,1964,65.31290322580645,19719595.0
42,France,15,1968,71.5,49915403.0
48,Denmark,8,1968,73.0,4864879.0
57,Australia,17,1968,70.9,12008635.0
63,Sweden,4,1968,74.1,7911980.0
64,Greece,1,1968,72.4,8740765.0
72,Canada,5,1968,66.66363636363637,21129417.0
86,Germany,66,1972,71.0,78688450.0
88,Norway,4,1972,74.6,3933001.0
89,Turkey,1,1972,55.0,37133000.0
94,Denmark,1,1972,73.4,4991596.0
96,France,13,1972,72.4,51700913.0
98,Finland,8,1972,70.7,4639656.0
99,Mexico,1,1972,63.1,53973953.0
100,Sweden,16,1972,74.8,8122154.0
103,Italy,18,1972,67.98648648648648,54381345.0
105,Australia,17,1972,72.0,13303664.0
106,Greece,2,1972,73.8,8888628.0
108,Switzerland,3,1972,73.8,6260956.0
109,Canada,5,1972,67.98648648648648,22218463.0
110,India,1,1972,49.1,579411513.0
112,Belgium,2,1972,71.5,9711115.0
123,Austria,3,1972,70.6,7544201.0
124,Germany,40,1972,71.0,78688450.0
125,Spain,1,1972,67.98648648648648,34571714.0
126,Netherlands,5,1972,73.8,13328595.0
131,New Zealand,3,1972,71.7,2929135.0
134,Canada,11,1976,73.9,23449808.0
138,Germany,39,1976,71.8,78336948.0
139,Netherlands,5,1976,74.7,13774037.0
142,Austria,1,1976,71.7,7565525.0
146,Finland,6,1976,72.0,4725665.0
150,Germany,90,1976,71.8,78336948.0
152,Sweden,5,1976,75.1,8222309.0
153,New Zealand,4,1976,72.3,3153535.0
154,Belgium,6,1976,72.2,9818228.0
155,Italy,13,1976,72.8,55718266.0
157,Denmark,3,1976,73.9,5072597.0
164,Mexico,2,1976,65.2,60702805.0
165,Australia,5,1976,72.8,14033083.0
168,Portugal,2,1976,69.0,9355812.0
169,France,9,1976,73.2,52908675.0
171,Spain,2,1976,73.7,36118035.0
172,Norway,2,1976,75.3,4026151.0
173,Switzerland,4,1976,74.9,6302505.0
178,India,1,1980,53.8,696783517.0
180,Italy,15,1980,74.0,56433876.0
181,Spain,6,1980,75.4,37526911.0
182,Netherlands,3,1980,75.9,14149799.0
184,Belgium,1,1980,73.3,9859243.0
186,Switzerland,2,1980,75.7,6319409.0
188,Sweden,12,1980,75.9,8310477.0
190,Ireland,2,1980,72.9,3401000.0
194,France,14,1980,74.3,53880012.0
195,Mexico,4,1980,67.2,67561216.0
197,Germany,126,1980,72.9,78288576.0
200,Finland,8,1980,73.6,4779537.0
202,Greece,3,1980,75.3,9642505.0
204,Denmark,5,1980,74.3,5123027.0
207,Austria,4,1980,72.6,7549433.0
208,Australia,9,1980,74.6,14695356.0
213,Turkey,3,1984,60.9,49070000.0
215,Colombia,1,1984,66.0,30350086.0
220,Netherlands,13,1984,76.4,14424211.0
223,Switzerland,8,1984,76.9,6441865.0
228,Denmark,6,1984,74.8,5111619.0
229,Austria,3,1984,73.7,7561434.0
230,Spain,5,1984,76.4,38325244.0
231,Portugal,3,1984,72.7,9996232.0
232,Greece,2,1984,76.2,9895801.0
233,New Zealand,11,1984,73.8,3278850.0
235,Iceland,1,1984,77.7,239506.0
237,Canada,44,1984,76.2,25607053.0
238,Sweden,19,1984,77.0,8336595.0
239,Germany,59,1984,74.3,77858682.0
240,Ireland,1,1984,71.6857142857143,3529000.0
242,Norway,3,1984,76.4,4140098.0
243,Belgium,4,1984,74.5,9855372.0
246,France,28,1984,75.3,55026074.0
249,Italy,32,1984,75.0,56576719.0
250,Australia,24,1984,75.8,15579391.0
251,Mexico,6,1984,69.1,74359027.0
254,Finland,12,1984,74.8,4881806.0
261,Colombia,1,1988,67.0,32767110.0
262,New Zealand,13,1988,74.8,3343680.0
264,Netherlands,9,1988,77.1,14760092.0
267,Turkey,2,1988,65.2,53268000.0
268,France,16,1988,76.6,56117974.0
269,Norway,5,1988,76.4,4209489.0
270,Finland,4,1988,74.8,4946487.0
273,Belgium,2,1988,75.7,9901665.0
274,Mexico,2,1988,70.6,80970606.0
276,Australia,14,1988,76.3,16532164.0
279,Austria,1,1988,75.3,7585317.0
281,Denmark,4,1988,75.0,5129517.0
283,Chile,1,1988,72.5,12748135.0
286,Switzerland,4,1988,77.5,6593387.0
287,Italy,14,1988,76.5,56629290.0
288,Germany,40,1988,75.8,78144617.0
289,Spain,4,1988,76.9,38764307.0
290,Greece,1,1988,76.8,10037037.0
295,Germany,102,1988,75.8,78144617.0
299,Sweden,11,1988,77.1,8436483.0
301,Canada,10,1988,76.8,26791747.0
304,Portugal,1,1988,73.8,10019610.0
311,Mexico,1,1992,71.9,87312337.0
312,South Africa,2,1992,63.4,39360225.0
314,Germany,82,1992,76.0,80624601.0
315,Greece,2,1992,77.2,10399058.0
319,Denmark,6,1992,75.3,5171370.0
320,Finland,5,1992,75.7,5041990.0
322,Australia,27,1992,77.5,17478635.0
325,France,29,1992,77.5,58711615.0
328,Netherlands,15,1992,77.4,15184163.0
329,Hungary,30,1992,69.4,10369339.0
330,Switzerland,1,1992,78.1,6875364.0
332,Austria,2,1992,75.9,7840709.0
334,Turkey,6,1992,68.2,56986000.0
335,Poland,19,1992,71.1,38173500.0
336,Czech Republic,7,1992,72.5,10317807.0
340,Slovenia,2,1992,73.6,1995832.0
344,Spain,22,1992,77.6,39147940.0
346,Colombia,1,1992,67.5,35520940.0
349,New Zealand,10,1992,76.1,3531700.0
351,Belgium,3,1992,76.5,10045165.0
352,Italy,19,1992,77.5,56797078.0
354,Israel,2,1992,76.6,5123500.0
360,Norway,7,1992,77.4,4286397.0
364,Canada,18,1992,77.7,28371264.0
365,Sweden,12,1992,78.2,8668065.0
370,Ireland,2,1992,75.5,3554500.0
374,Australia,41,1996,78.2,18224767.0
375,India,1,1996,60.8,978893217.0
376,Germany,65,1996,76.9,81914834.0
377,Turkey,6,1996,69.7,60671000.0
378,Greece,8,1996,78.0,10608801.0
379,Denmark,6,1996,75.7,5261503.0
380,Brazil,15,1996,68.8,163767821.0
385,Czech Republic,11,1996,74.0,10315353.0
389,Bulgaria,15,1996,74.35813953488372,8362826.0
390,Ireland,4,1996,75.9,3626087.0
394,Israel,1,1996,78.2,5685100.0
395,Finland,4,1996,76.9,5124573.0
397,Indonesia,4,1996,64.6,199914831.0
399,France,37,1996,78.3,59589289.0
400,Italy,35,1996,78.6,56860279.0
404,Sweden,8,1996,79.2,8840999.0
407,Canada,22,1996,78.1,29610218.0
408,Costa Rica,1,1996,76.8,3520866.0
419,Spain,17,1996,78.3,39884246.0
420,New Zealand,6,1996,77.1,3732000.0
422,Romania,20,1996,74.35813953488372,22619005.0
424,Lithuania,1,1996,70.3,3601613.0
426,Norway,7,1996,78.3,4381339.0
427,Poland,17,1996,72.4,38289000.0
429,Mexico,1,1996,72.7,93294783.0
430,South Africa,5,1996,60.7,42898520.0
433,Portugal,2,1996,75.3,10063945.0
435,Hungary,21,1996,70.7,10311235.0
438,Belgium,6,1996,77.3,10156641.0
439,Switzerland,7,1996,79.1,7071851.0
440,Austria,3,1996,77.0,7959016.0
442,Croatia,2,1996,74.35813953488372,4574853.0
447,Slovenia,2,1996,75.1,1991169.0
448,Latvia,1,1996,74.35813953488372,2457226.0
451,Netherlands,19,1996,77.6,15530500.0
452,Ireland,1,2000,76.6,3789536.0
456,Spain,11,2000,79.3,40554387.0
458,Sweden,12,2000,79.7,8872112.0
459,Hungary,17,2000,71.9,10210965.0
460,Indonesia,6,2000,65.8,211540429.0
463,India,1,2000,62.5,1053050912.0
464,Australia,58,2000,79.3,19028802.0
466,Iceland,1,2000,79.7,281200.0
467,Israel,1,2000,78.8,6289200.0
469,Italy,34,2000,79.9,56942108.0
470,France,38,2000,79.2,60724780.0
472,Portugal,2,2000,76.9,10289898.0
473,Latvia,3,2000,75.27441860465116,2367549.0
474,Poland,14,2000,73.8,38258478.0
477,Lithuania,5,2000,72.1,3499534.0
480,Greece,13,2000,78.6,10805806.0
483,South Africa,5,2000,56.2,45728315.0
484,Finland,4,2000,77.7,5176203.0
487,Romania,26,2000,75.27441860465116,22442973.0
490,Switzerland,9,2000,79.9,7184250.0
491,Germany,56,2000,78.2,82211501.0
494,Colombia,1,2000,71.0,40295563.0
495,New Zealand,4,2000,78.4,3857700.0
496,Canada,14,2000,79.0,30685730.0
497,Saudi Arabia,2,2000,75.27441860465116,20764312.0
499,Chile,1,2000,76.4,15343326.0
503,Estonia,3,2000,71.0,1396985.0
505,Slovenia,2,2000,76.1,1990272.0
507,Belgium,5,2000,77.8,10251247.0
509,Brazil,12,2000,70.2,173765726.0
513,Croatia,2,2000,75.27441860465116,4428069.0
514,Austria,3,2000,78.2,8011566.0
515,Mexico,6,2000,74.7,98785275.0
519,Costa Rica,2,2000,77.5,3872349.0
521,Norway,10,2000,78.8,4490973.0
522,Denmark,6,2000,76.9,5337344.0
523,Bulgaria,13,2000,75.27441860465116,8170172.0
524,Czech Republic,8,2000,75.1,10272503.0
528,Netherlands,25,2000,78.2,15925505.0
531,Turkey,5,2000,71.1,64268751.0
532,Greece,16,2004,79.4,10955142.0
534,Switzerland,5,2004,81.2,7389626.0
535,Israel,2,2004,80.2,6809000.0
538,Spain,20,2004,80.4,42859172.0
540,Indonesia,4,2004,67.0,223614649.0
542,India,1,2004,64.1,1126135777.0
545,Hungary,17,2004,73.0,10107140.0
547,Sweden,7,2004,80.6,8993533.0
548,Netherlands,22,2004,79.2,16281777.0
549,Colombia,2,2004,72.7,42368489.0
557,New Zealand,5,2004,79.6,4087500.0
560,Croatia,5,2004,76.17045454545453,4308296.0
561,Denmark,8,2004,77.8,5401177.0
563,Turkey,10,2004,72.7,67598736.0
565,Czech Republic,9,2004,75.8,10206923.0
566,Estonia,3,2004,72.4,1362550.0
567,Slovenia,4,2004,77.2,1997004.0
571,Argentina,6,2004,76.17045454545453,38325927.0
572,Norway,6,2004,80.1,4591909.0
573,Portugal,3,2004,78.4,10483861.0
578,Romania,19,2004,76.17045454545453,21451845.0
582,Bulgaria,12,2004,76.17045454545453,7716860.0
583,Poland,10,2004,74.9,38180249.0
587,Canada,12,2004,79.8,31940655.0
589,Latvia,4,2004,70.8,2263123.0
590,Austria,7,2004,79.3,8169441.0
591,Germany,49,2004,79.2,82516268.0
593,Lithuania,3,2004,72.0,3377073.0
594,France,33,2004,80.3,62490800.0
595,South Africa,6,2004,53.5,46741256.0
596,Chile,3,2004,77.4,16022133.0
599,Brazil,10,2004,71.6,182865043.0
601,Belgium,3,2004,79.0,10421133.0
602,Australia,50,2004,80.6,19932722.0
603,Finland,2,2004,79.0,5228173.0
604,Mexico,4,2004,75.4,104272444.0
605,Italy,32,2004,80.9,57685327.0
606,France,43,2008,81.4,64133174.0
609,Estonia,2,2008,74.2,1337090.0
611,Italy,27,2008,81.6,58826733.0
612,Israel,1,2008,81.0,7308795.0
613,Finland,4,2008,79.9,5313398.0
615,Iceland,1,2008,81.7,317404.0
617,Indonesia,6,2008,68.5,236159276.0
619,Germany,41,2008,80.2,82110097.0
620,Greece,3,2008,80.3,11077839.0
621,India,3,2008,65.8,1197146906.0
623,Ireland,3,2008,80.2,4485070.0
625,Canada,20,2008,80.6,33247118.0
629,Austria,3,2008,80.5,8321541.0
632,Bulgaria,5,2008,77.23409090909091,7492561.0
634,Brazil,17,2008,73.0,191010274.0
635,Netherlands,16,2008,80.5,16445590.0
636,Australia,46,2008,81.5,21249199.0
637,Argentina,6,2008,77.23409090909091,39940234.0
639,Portugal,2,2008,79.5,10558177.0
640,Belgium,2,2008,79.8,10709976.0
643,New Zealand,9,2008,80.5,4259800.0
644,Norway,9,2008,80.8,4768215.0
645,Poland,11,2008,75.7,38115909.0
649,Latvia,3,2008,72.0,2177324.0
658,Slovenia,5,2008,79.1,2022629.0
666,Sweden,5,2008,81.3,9219639.0
667,Spain,19,2008,81.5,45983169.0
669,Switzerland,7,2008,82.2,7647676.0
670,Romania,9,2008,77.23409090909091,20537848.0
672,Turkey,5,2008,73.9,71051689.0
676,Mexico,4,2008,75.1,110405454.0
678,Hungary,10,2008,74.2,10038186.0
679,Croatia,5,2008,77.23409090909091,4310884.0
681,Lithuania,5,2008,71.8,3198234.0
682,Chile,1,2008,78.3,16697754.0
685,South Africa,1,2008,55.4,49176550.0
688,Colombia,3,2008,73.9,44451147.0
689,Denmark,7,2008,78.8,5489022.0
690,Czech Republic,7,2008,77.3,10429692.0
693,Lithuania,5,2012,74.0,2987773.0
694,Latvia,2,2012,73.9,2034324.0
696,Netherlands,20,2012,81.2,16754963.0
700,New Zealand,13,2012,81.2,4408100.0
701,Saudi Arabia,1,2012,78.30454545454546,29086357.0
705,Spain,18,2012,82.5,46766403.0
707,Germany,44,2012,80.6,80425826.0
712,Ireland,6,2012,80.9,4593697.0
716,Norway,4,2012,81.5,5018574.0
717,Romania,7,2012,78.30454545454546,20060182.0
718,Hungary,18,2012,75.2,9920364.0
720,Poland,11,2012,76.9,38533789.0
722,Portugal,1,2012,80.5,10514844.0
723,Indonesia,3,2012,69.9,245425200.0
724,Sweden,8,2012,81.8,9519378.0
725,India,6,2012,67.6,1263065852.0
727,Italy,28,2012,82.3,59539725.0
729,Mexico,8,2012,75.0,116935670.0
730,Slovenia,4,2012,80.2,2056262.0
735,South Africa,6,2012,60.1,52409724.0
738,Switzerland,4,2012,82.8,7996861.0
739,Greece,2,2012,80.7,11045010.0
743,Denmark,9,2012,80.1,5587085.0
744,Argentina,4,2012,78.30454545454546,41733271.0
749,Finland,3,2012,80.7,5413967.0
751,Estonia,2,2012,76.5,1322696.0
753,Australia,35,2012,82.1,22733465.0
755,France,35,2012,82.1,65402998.0
761,Cyprus,1,2012,78.30454545454546,863945.0
762,Turkey,3,2012,74.6,75175836.0
766,Croatia,6,2012,78.30454545454546,4269063.0
768,Czech Republic,11,2012,78.2,10509286.0
769,Colombia,9,2012,74.8,46581823.0
771,Bulgaria,3,2012,78.30454545454546,7305888.0
772,Brazil,17,2012,74.2,198314934.0
774,Canada,18,2012,81.5,34714222.0
777,Belgium,3,2012,80.5,11067748.0
779,Hungary,15,2016,76.2,9814026.0
781,Spain,17,2016,83.4,46449874.0
783,France,42,2016,82.7,66685530.0
784,Greece,6,2016,81.5,10775971.0
785,Switzerland,7,2016,83.7,8373334.0
786,Germany,42,2016,81.1,82348669.0
788,India,2,2016,68.9,1324171354.0
790,Sweden,11,2016,82.4,9923085.0
792,Indonesia,3,2016,71.1,258705000.0
794,Finland,1,2016,81.5,5495297.0
797,Mexico,5,2016,74.8,122715165.0
799,Slovenia,4,2016,81.3,2064241.0
804,Denmark,15,2016,80.9,5724456.0
806,Czech Republic,10,2016,79.1,10565284.0
809,Turkey,8,2016,78.0,79277971.0
812,Croatia,10,2016,79.21363636363637,4174349.0
813,Lithuania,4,2016,74.8,2868234.0
814,Colombia,8,2016,75.8,48747708.0
815,South Africa,10,2016,63.2,55946872.0
820,Ireland,2,2016,81.7,4739597.0
821,Norway,4,2016,82.5,5236152.0
824,Australia,29,2016,82.5,24190907.0
825,Netherlands,19,2016,81.6,17030314.0
830,Argentina,4,2016,79.21363636363637,43590368.0
832,Poland,11,2016,78.0,38426809.0
833,Brazil,19,2016,75.3,205156587.0
837,Portugal,1,2016,81.2,10325452.0
838,Bulgaria,3,2016,79.21363636363637,7127822.0
845,Israel,2,2016,82.5,8546009.0
846,Estonia,1,2016,77.8,1315790.0
847,Italy,28,2016,83.3,60627494.0
849,Canada,22,2016,82.0,36109487.0
852,Belgium,6,2016,81.5,11295003.0
854,Austria,1,2016,81.7,8739806.0
857,Romania,4,2016,79.21363636363637,19706529.0
860,New Zealand,18,2016,81.7,4693200.0
